Size,Type,Bitonic_ms,StdSort_ms
1024,Random,0.627646,0.178277
1024,Sorted,0.139935,0.017969
1024,Reverse,0.096061,0.008206
1024,Duplicate,0.471883,0.095261
4096,Random,1.4101,0.353661
4096,Sorted,0.277287,0.03094
4096,Reverse,0.286396,0.022141
4096,Duplicate,0.544096,0.127778
16384,Random,6.81134,1.54929
16384,Sorted,1.42838,0.176494
16384,Reverse,2.21165,0.321039
16384,Duplicate,2.69469,0.550811
65536,Random,21.9722,3.32156
65536,Sorted,3.36749,0.372256
65536,Reverse,3.41072,0.263709
65536,Duplicate,5.9256,1.07325
262144,Random,56.2075,13.7105
262144,Sorted,15.1265,1.44571
262144,Reverse,15.2511,0.951237
262144,Duplicate,17.0125,2.97629
1048576,Random,230.769,55.9429
1048576,Sorted,74.124,6.47664
1048576,Reverse,76.0361,4.07029
1048576,Duplicate,79.6287,10.6404
4194304,Random,1017.79,244.286
4194304,Sorted,344.752,25.8921
4194304,Reverse,333.524,17.4536
4194304,Duplicate,357.015,48.1648
33554432,Random,8967.18,1959.38
33554432,Sorted,3396.72,239.953
33554432,Reverse,3357.24,159.853
33554432,Duplicate,3507.05,443.228
