Size,Type,Bitonic_ms,g_kernel_time_ms,elements_per_sec,throughput_cycles,Baseline_ms
1024,Random,0.21678,0,4.72368e+06,188.947,0.0861691
1024,Sorted,0.108079,0,9.47459e+06,378.983,0.0166483
1024,Reverse,0.0764489,0,1.33946e+07,535.783,0.0090912
1024,Duplicate,0.0714424,0,1.43332e+07,573.329,0.0160938
2048,Random,0.481749,0,4.25117e+06,170.047,0.15148
2048,Sorted,0.149611,0,1.36889e+07,547.554,0.0186462
2048,Reverse,0.11972,0,1.71065e+07,684.262,0.0122559
2048,Duplicate,0.177236,0,1.15552e+07,462.208,0.0463124
4096,Random,0.611493,0,6.69836e+06,267.934,0.177526
4096,Sorted,0.136114,0,3.00924e+07,1203.7,0.0176653
4096,Reverse,0.137786,0,2.97273e+07,1189.09,0.0132797
4096,Duplicate,0.180951,0,2.2636e+07,905.44,0.0432428
8192,Random,1.32604,0,6.17778e+06,247.111,0.427969
8192,Sorted,0.33063,0,2.47769e+07,991.078,0.0426669
8192,Reverse,0.308645,0,2.65418e+07,1061.67,0.0289834
8192,Duplicate,0.405379,0,2.02082e+07,808.329,0.0936208
16384,Random,2.64015,0,6.2057e+06,248.228,0.746285
16384,Sorted,0.650845,0,2.51734e+07,1006.94,0.0754429
16384,Reverse,0.650227,0,2.51974e+07,1007.89,0.0572278
16384,Duplicate,0.826622,0,1.98204e+07,792.817,0.184763
32768,Random,5.24817,0,6.2437e+06,249.748,1.49668
32768,Sorted,1.54881,0,2.11569e+07,846.275,0.168639
32768,Reverse,1.54427,0,2.12191e+07,848.764,0.133155
32768,Duplicate,1.87676,0,1.74599e+07,698.397,0.38255
65536,Random,11.0558,0,5.92777e+06,237.111,2.9907
65536,Sorted,3.11392,0,2.10461e+07,841.845,0.333551
65536,Reverse,3.1365,0,2.08946e+07,835.784,0.258418
65536,Duplicate,3.71386,0,1.76463e+07,705.852,0.706837
131072,Random,23.0822,0,5.67848e+06,227.139,6.03051
131072,Sorted,6.76107,0,1.93863e+07,775.451,0.691748
131072,Reverse,7.40274,0,1.77059e+07,708.235,0.559891
131072,Duplicate,8.44242,0,1.55254e+07,621.016,1.56131
262144,Random,53.0159,0,4.94463e+06,197.785,13.7119
262144,Sorted,15.8523,0,1.65366e+07,661.464,1.49162
262144,Reverse,15.79,0,1.66019e+07,664.077,1.13186
262144,Duplicate,17.3946,0,1.50704e+07,602.817,2.85806
524288,Random,112.075,0,4.67803e+06,187.121,27.7828
524288,Sorted,33.0085,0,1.58834e+07,635.336,2.96365
524288,Reverse,33.5441,0,1.56298e+07,625.192,2.33728
524288,Duplicate,36.4131,0,1.43983e+07,575.933,5.46875
1048576,Random,235.15,0,4.45917e+06,178.367,58.4582
1048576,Sorted,75.653,0,1.38603e+07,554.414,6.31559
1048576,Reverse,72.5308,0,1.4457e+07,578.279,4.67371
1048576,Duplicate,81.0807,0,1.29325e+07,517.3,10.7072
2097152,Random,500.039,0,4.19398e+06,167.759,122.64
2097152,Sorted,163.314,0,1.28412e+07,513.649,13.1745
2097152,Reverse,166.192,0,1.26189e+07,504.755,10.5197
2097152,Duplicate,179.933,0,1.16552e+07,466.208,26.0612
4194304,Random,1057.08,0,3.96782e+06,158.713,251.885
4194304,Sorted,362.517,0,1.15699e+07,462.798,28.265
4194304,Reverse,359.562,0,1.1665e+07,466.602,21.5316
4194304,Duplicate,370.337,0,1.13256e+07,453.026,46.5738
8388608,Random,2153.68,0,3.89502e+06,155.801,506.009
8388608,Sorted,731.162,0,1.1473e+07,458.919,54.7931
8388608,Reverse,742.193,0,1.13025e+07,452.098,42.8154
8388608,Duplicate,782.022,0,1.07268e+07,429.073,94.293
16777216,Random,4411.61,0,3.80296e+06,152.119,976.529
16777216,Sorted,1556.96,0,1.07756e+07,431.024,113.422
16777216,Reverse,1575.38,0,1.06496e+07,425.985,89.5354
16777216,Duplicate,1652.66,0,1.01517e+07,406.066,193.267
33554432,Random,9099.01,0,3.6877e+06,147.508,1971.32
33554432,Sorted,3350.08,0,1.0016e+07,400.641,237.641
33554432,Reverse,3362.44,0,9.97919e+06,399.167,182.048
33554432,Duplicate,3534.44,0,9.49357e+06,379.743,422.375
67108864,Random,19064.9,0,3.52003e+06,140.801,3963.14
67108864,Sorted,7151.83,0,9.38345e+06,375.338,497.05
67108864,Reverse,7246.85,0,9.26041e+06,370.417,389.853
67108864,Duplicate,7596.53,0,8.83415e+06,353.366,826.301
