Size,Type,Bitonic_ms,g_kernel_time_ms,elements_per_sec,throughput_cycles,Baseline_ms
1024,Random,0.112719,0.028672,9.08451e+06,363.381,0.131204
1024,Sorted,0.134524,0.027648,7.61202e+06,304.481,0.140424
1024,Reverse,0.113434,0.027648,9.02727e+06,361.091,0.130161
1024,Duplicate,0.112898,0.028672,9.07014e+06,362.806,0.130769
2048,Random,0.117593,0.033792,1.7416e+07,696.64,0.148416
2048,Sorted,0.119964,0.033792,1.70718e+07,682.874,0.150092
2048,Reverse,0.118947,0.033792,1.72178e+07,688.711,0.150627
2048,Duplicate,0.119297,0.033792,1.71672e+07,686.689,0.150242
4096,Random,0.134186,0.04096,3.05247e+07,1220.99,0.166453
4096,Sorted,0.130242,0.04096,3.14491e+07,1257.96,0.167124
4096,Reverse,0.128727,0.04096,3.18193e+07,1272.77,0.165429
4096,Duplicate,0.126034,0.04096,3.24991e+07,1299.96,0.168545
8192,Random,0.140066,0.049152,5.84866e+07,2339.46,0.186996
8192,Sorted,0.139988,0.050176,5.85192e+07,2340.77,0.186352
8192,Reverse,0.139229,0.049152,5.88382e+07,2353.53,0.186691
8192,Duplicate,0.139801,0.050176,5.85975e+07,2343.9,0.186711
16384,Random,0.162758,0.06144,1.00665e+08,4026.59,0.216888
16384,Sorted,0.171665,0.06144,9.54418e+07,3817.67,0.224221
16384,Reverse,0.170469,0.061504,9.61113e+07,3844.45,0.225713
16384,Duplicate,0.160683,0.06144,1.01965e+08,4078.59,0.215519
32768,Random,0.210695,0.104992,1.55523e+08,6220.93,0.256391
32768,Sorted,0.291867,0.103776,1.1227e+08,4490.82,0.282622
32768,Reverse,0.223822,0.104192,1.46402e+08,5856.08,0.262742
32768,Duplicate,0.210815,0.103552,1.55435e+08,6217.39,0.255402
65536,Random,0.355129,0.196672,1.84541e+08,7381.65,0.499198
65536,Sorted,0.324029,0.18992,2.02253e+08,8090.13,0.429662
65536,Reverse,0.333194,0.245376,1.9669e+08,7867.61,0.431348
65536,Duplicate,0.325213,0.1896,2.01517e+08,8060.7,0.429668
131072,Random,0.618576,0.349792,2.11893e+08,8475.72,0.819074
131072,Sorted,0.640525,0.583232,2.04632e+08,8185.29,0.834544
131072,Reverse,0.627106,0.326656,2.09011e+08,8360.43,0.824037
131072,Duplicate,0.601852,0.810208,2.17781e+08,8711.24,0.777565
262144,Random,1.05478,0.642624,2.4853e+08,9941.21,1.39798
262144,Sorted,1.08881,0.63664,2.40763e+08,9630.5,1.39812
262144,Reverse,1.03049,0.61488,2.54388e+08,10175.5,1.38463
262144,Duplicate,1.0515,0.612512,2.49304e+08,9972.16,1.41014
524288,Random,2.47956,1.82646,2.11444e+08,8457.76,3.12172
524288,Sorted,2.39861,1.81254,2.1858e+08,8743.19,2.78787
524288,Reverse,2.42092,1.81267,2.16565e+08,8662.61,2.90289
524288,Duplicate,2.35636,1.73757,2.22499e+08,8899.98,2.84244
1048576,Random,5.06257,3.96867,2.07123e+08,8284.94,6.25323
1048576,Sorted,5.07016,3.94694,2.06813e+08,8272.52,5.96795
1048576,Reverse,5.03246,3.97414,2.08363e+08,8334.5,6.04749
1048576,Duplicate,4.86481,3.75267,2.15543e+08,8621.71,6.09827
2097152,Random,10.8015,8.78662,1.94154e+08,7766.15,13.05
2097152,Sorted,10.7344,8.78538,1.95368e+08,7814.73,12.4284
2097152,Reverse,10.9457,8.83091,1.91596e+08,7663.82,12.6665
2097152,Duplicate,10.4122,8.17107,2.01413e+08,8056.52,12.8376
4194304,Random,23.7282,20.9065,1.76765e+08,7070.58,28.9184
4194304,Sorted,24.2089,21.1352,1.73254e+08,6930.17,27.5801
4194304,Reverse,24.3881,22.1656,1.71982e+08,6879.27,28.2683
4194304,Duplicate,22.8789,19.3934,1.83326e+08,7333.04,28.3604
8388608,Random,51.3582,42.8275,1.63335e+08,6533.42,61.8455
8388608,Sorted,51.1637,46.0924,1.63956e+08,6558.25,57.9226
8388608,Reverse,51.2425,45.1003,1.63704e+08,6548.16,58.1782
8388608,Duplicate,47.1568,39.3082,1.77888e+08,7115.51,59.2561
16777216,Random,109.481,94.9735,1.53243e+08,6129.73,133.592
16777216,Sorted,113.577,94.7177,1.47716e+08,5908.65,127.003
16777216,Reverse,113.387,97.5847,1.47965e+08,5918.59,125.509
16777216,Duplicate,103.175,93.7073,1.62609e+08,6504.36,128.144
33554432,Random,243.816,211.327,1.37622e+08,5504.88,293.282
33554432,Sorted,242.764,214.152,1.38218e+08,5528.73,269.304
33554432,Reverse,244.592,211.877,1.37185e+08,5487.42,275.748
33554432,Duplicate,223.295,193.356,1.50269e+08,6010.77,278.211
67108864,Random,528.17,473.853,1.27059e+08,5082.37,635.51
67108864,Sorted,524.706,467.518,1.27898e+08,5115.92,589.812
67108864,Reverse,524.918,462.189,1.27846e+08,5113.85,588.136
67108864,Duplicate,472.254,413.406,1.42103e+08,5684.13,591.781
