Size,Type,Bitonic_ms,g_kernel_time_ms,elements_per_sec,throughput_cycles,Baseline_ms
1024,Random,0.0757126,0,1.35248e+07,540.993,0.106839
1024,Sorted,0.0342192,0,2.99247e+07,1196.99,0.0934018
1024,Reverse,0.033636,0,3.04436e+07,1217.74,0.0936029
1024,Duplicate,0.0383625,0,2.66927e+07,1067.71,0.0924584
2048,Random,0.160081,0,1.27935e+07,511.741,0.47486
2048,Sorted,5.7065,0,358889,14.3556,0.231546
2048,Reverse,0.0638529,0,3.20737e+07,1282.95,0.215428
2048,Duplicate,0.0702272,0,2.91625e+07,1166.5,0.211143
4096,Random,0.338405,0,1.21038e+07,484.153,0.566858
4096,Sorted,0.12898,0,3.17569e+07,1270.28,0.496625
4096,Reverse,0.128813,0,3.17979e+07,1271.92,0.492504
4096,Duplicate,0.141392,0,2.8969e+07,1158.76,0.488487
8192,Random,0.759761,0,1.07823e+07,431.294,1.30502
8192,Sorted,0.283151,0,2.89316e+07,1157.26,1.13109
8192,Reverse,0.269363,0,3.04125e+07,1216.5,1.1302
8192,Duplicate,0.294864,0,2.77823e+07,1111.29,1.12712
16384,Random,0.882945,0,1.85561e+07,742.244,1.49742
16384,Sorted,0.31711,0,5.16665e+07,2066.66,1.30989
16384,Reverse,0.315768,0,5.18862e+07,2075.45,1.30586
16384,Duplicate,0.342538,0,4.78312e+07,1913.25,1.34236
32768,Random,0.971936,0,3.37142e+07,1348.57,1.75554
32768,Sorted,0.377458,0,8.68122e+07,3472.49,1.72449
32768,Reverse,0.486149,0,6.74032e+07,2696.13,1.64739
32768,Duplicate,0.384274,0,8.52724e+07,3410.9,1.5859
65536,Random,1.50817,0,4.34541e+07,1738.16,3.66006
65536,Sorted,0.780185,0,8.40005e+07,3360.02,3.46554
65536,Reverse,0.815933,0,8.03203e+07,3212.81,3.59403
65536,Duplicate,0.647054,0,1.01284e+08,4051.34,3.42199
131072,Random,2.51794,0,5.20553e+07,2082.21,6.38086
131072,Sorted,1.86054,0,7.04485e+07,2817.94,7.57078
131072,Reverse,1.97867,0,6.62424e+07,2649.69,7.20327
131072,Duplicate,2.19759,0,5.96434e+07,2385.74,11.8644
262144,Random,5.00894,0,5.23352e+07,2093.41,14.1635
262144,Sorted,2.13716,0,1.2266e+08,4906.41,13.9246
262144,Reverse,2.15616,0,1.21579e+08,4863.16,14.0911
262144,Duplicate,2.22502,0,1.17816e+08,4712.65,14.3075
524288,Random,8.99885,0,5.82617e+07,2330.47,27.1837
524288,Sorted,5.47365,0,9.5784e+07,3831.36,28.337
524288,Reverse,4.51921,0,1.16013e+08,4640.53,29.2739
524288,Duplicate,4.51923,0,1.16013e+08,4640.51,28.8234
1048576,Random,19.089,0,5.49309e+07,2197.24,61.1051
1048576,Sorted,8.64365,0,1.21312e+08,4852.47,60.3547
1048576,Reverse,10.0368,0,1.04473e+08,4178.94,59.598
1048576,Duplicate,8.41619,0,1.2459e+08,4983.62,58.5635
2097152,Random,39.0236,0,5.37406e+07,2149.63,139.995
2097152,Sorted,18.7461,0,1.11871e+08,4474.85,130.492
2097152,Reverse,18.5987,0,1.12758e+08,4510.33,129.22
2097152,Duplicate,17.5042,0,1.19808e+08,4792.33,131.292
4194304,Random,78.4485,0,5.34657e+07,2138.63,283.359
4194304,Sorted,38.3241,0,1.09443e+08,4377.72,277.011
4194304,Reverse,38.5798,0,1.08718e+08,4348.71,278.38
4194304,Duplicate,38.405,0,1.09212e+08,4368.49,281.069
8388608,Random,201.543,0,4.16219e+07,1664.88,621.52
8388608,Sorted,116.634,0,7.19227e+07,2876.91,605.062
8388608,Reverse,125.767,0,6.66995e+07,2667.98,598.924
8388608,Duplicate,107.475,0,7.80518e+07,3122.07,600.13
16777216,Random,560.995,0,2.99062e+07,1196.25,1399.1
16777216,Sorted,400.717,0,4.1868e+07,1674.72,1438.71
16777216,Reverse,429.964,0,3.90201e+07,1560.8,1532.6
16777216,Duplicate,302.806,0,5.54059e+07,2216.24,1347.03
33554432,Random,1089.05,0,3.08107e+07,1232.43,2886.86
33554432,Sorted,778.596,0,4.30961e+07,1723.84,2850.58
33554432,Reverse,765.691,0,4.38224e+07,1752.9,2827.19
33554432,Duplicate,644.295,0,5.20793e+07,2083.17,2820.41
67108864,Random,2428.39,0,2.76352e+07,1105.41,6173.18
67108864,Sorted,1740.92,0,3.85479e+07,1541.92,6085.36
67108864,Reverse,1691.37,0,3.96772e+07,1587.09,6038.94
67108864,Duplicate,1458.98,0,4.59971e+07,1839.88,6100.57
