Size,Type,Bitonic_ms,StdSort_ms,Bubble_ms
1024,Random,0.145979,0.0489022,1.9398
1024,Sorted,0.0259143,0.0040506,0.0005404
1024,Reverse,0.0258561,0.0030851,2.65269
1024,Duplicate,0.0425004,0.0107923,1.32304
4096,Random,0.479968,0.150134,21.6532
4096,Sorted,0.126366,0.0167671,0.0019276
4096,Reverse,0.129015,0.0125556,40.2926
4096,Duplicate,0.189396,0.0550626,19.2846
16384,Random,2.38929,0.760236,463.667
16384,Sorted,0.67248,0.0782046,0.0083489
16384,Reverse,0.72352,0.0637292,659.027
16384,Duplicate,0.853011,0.185103,305.805
65536,Random,10.9103,2.98122,-1
65536,Sorted,3.32076,0.365848,-1
65536,Reverse,3.1907,0.287897,-1
65536,Duplicate,3.70193,0.696564,-1
262144,Random,50.6547,12.9745,-1
262144,Sorted,15.8661,1.4776,-1
262144,Reverse,15.8079,1.14049,-1
262144,Duplicate,16.9609,2.7479,-1
1048576,Random,231.578,57.1418,-1
1048576,Sorted,73.8176,6.23129,-1
1048576,Reverse,73.3013,4.73673,-1
1048576,Duplicate,80.9777,10.6967,-1
4194304,Random,1001.89,241.939,-1
4194304,Sorted,335.449,26.2562,-1
4194304,Reverse,336.115,20.0309,-1
4194304,Duplicate,359.131,45.5444,-1
16777216,Random,4339.06,972.555,-1
16777216,Sorted,1548.53,113.232,-1
16777216,Reverse,1568.59,86.8523,-1
16777216,Duplicate,1637.5,191.676,-1
67108864,Random,18566.1,3860.42,-1
67108864,Sorted,7109.92,499.534,-1
67108864,Reverse,7113.88,373.864,-1
67108864,Duplicate,7446.43,804.692,-1
