Size,Type,Bitonic_ms,ThrustSort_ms,BubbleCUDA_ms
1024,Random,0.15877,0.103017,1.7275
1024,Sorted,0.107727,0.10585,1.67188
1024,Reverse,0.108574,0.101242,1.73367
1024,Duplicate,0.108025,0.10667,1.72571
4096,Random,0.121693,0.108439,6.81803
4096,Sorted,0.115412,0.0989274,6.08587
4096,Reverse,0.114877,0.0986294,6.30511
4096,Duplicate,0.114947,0.0978834,6.24717
16384,Random,0.15192,0.140346,26.2799
16384,Sorted,0.140308,0.13806,25.1033
16384,Reverse,0.141004,0.139708,26.4105
16384,Duplicate,0.163028,0.138461,26.3287
65536,Random,0.437547,0.26521,-1
65536,Sorted,0.384936,0.275905,-1
65536,Reverse,0.368865,0.236298,-1
65536,Duplicate,0.33913,0.205779,-1
262144,Random,1.00248,0.498476,-1
262144,Sorted,0.968647,0.479611,-1
262144,Reverse,1.00806,0.490689,-1
262144,Duplicate,0.964396,0.470951,-1
1048576,Random,5.23709,1.47616,-1
1048576,Sorted,5.24979,1.57295,-1
1048576,Reverse,5.24445,1.56085,-1
1048576,Duplicate,5.00377,1.38966,-1
4194304,Random,25.6543,5.19022,-1
4194304,Sorted,25.7196,5.10864,-1
4194304,Reverse,24.6227,5.57567,-1
4194304,Duplicate,22.799,5.01777,-1
16777216,Random,115.868,19.5421,-1
16777216,Sorted,115.332,19.4174,-1
16777216,Reverse,116.342,19.6246,-1
16777216,Duplicate,108.959,20.5538,-1
67108864,Random,550.244,76.8425,-1
67108864,Sorted,526.577,76.3449,-1
67108864,Reverse,547.681,76.7066,-1
67108864,Duplicate,487.445,76.6997,-1
