Size,Type,Bitonic_ms,ThrustSort_ms,BubbleCUDA_ms
1024,Random,0.244042,0.158572,1.73454
1024,Sorted,0.219415,0.182093,1.85162
1024,Reverse,0.241271,0.104575,1.72922
1024,Duplicate,0.233614,0.155302,1.72635
4096,Random,0.28422,0.161842,6.86766
4096,Sorted,0.278942,0.179044,6.35832
4096,Reverse,0.384479,0.110928,6.54747
4096,Duplicate,0.318152,0.125413,6.34844
16384,Random,0.388622,0.260455,29.9607
16384,Sorted,0.426217,0.246187,29.8721
16384,Reverse,0.460464,0.187065,29.4831
16384,Duplicate,0.345603,0.197397,28.4213
65536,Random,0.462487,0.215553,-1
65536,Sorted,0.467138,0.245464,-1
65536,Reverse,0.436252,0.214022,-1
65536,Duplicate,0.466503,0.231498,-1
262144,Random,1.17742,0.571851,-1
262144,Sorted,1.21597,0.598269,-1
262144,Reverse,1.14063,0.55517,-1
262144,Duplicate,1.17218,0.586286,-1
1048576,Random,10.1799,1.62183,-1
1048576,Sorted,9.71501,1.55051,-1
1048576,Reverse,8.95873,1.54111,-1
1048576,Duplicate,7.60912,1.65265,-1
4194304,Random,41.5938,5.16739,-1
4194304,Sorted,37.9124,5.0672,-1
4194304,Reverse,37.9292,5.05346,-1
4194304,Duplicate,30.9702,4.99121,-1
33554432,Random,403.131,40.2434,-1
33554432,Sorted,372.178,39.2711,-1
33554432,Reverse,373.313,38.2246,-1
33554432,Duplicate,301.414,38.6965,-1
