Size,Type,Bitonic_ms,StdSort_ms,BubbleOMP_ms
1024,Random,0.0584368,0.0309662,2.49781
1024,Sorted,0.0394005,0.0041069,0.0032117
1024,Reverse,0.0346084,0.0036194,2.82633
1024,Duplicate,0.0365656,0.0113461,2.22269
4096,Random,0.200948,0.168567,9.26286
4096,Sorted,0.179528,0.0177862,0.0035346
4096,Reverse,0.0694232,0.019094,7.91041
4096,Duplicate,0.187982,0.0534108,10.8519
16384,Random,0.382308,0.894128,43.6964
16384,Sorted,0.338446,0.0775703,0.0058386
16384,Reverse,0.402269,0.0611734,45.0225
16384,Duplicate,0.333661,0.210752,31.9397
65536,Random,1.89979,3.42784,-1
65536,Sorted,0.897201,0.344725,-1
65536,Reverse,3.02486,0.263931,-1
65536,Duplicate,1.13793,0.77657,-1
262144,Random,14.1182,14.9075,-1
262144,Sorted,8.44821,1.55581,-1
262144,Reverse,8.04864,1.27219,-1
262144,Duplicate,4.85005,3.22096,-1
1048576,Random,49.3521,62.9169,-1
1048576,Sorted,29.6235,7.84764,-1
1048576,Reverse,29.5201,5.15037,-1
1048576,Duplicate,26.988,12.6755,-1
4194304,Random,161.03,258.538,-1
4194304,Sorted,107.999,29.6588,-1
4194304,Reverse,103.69,20.3411,-1
4194304,Duplicate,92.3561,48.466,-1
33554432,Random,2169.57,2085.58,-1
33554432,Sorted,2231.06,246.07,-1
33554432,Reverse,1932.59,173.044,-1
33554432,Duplicate,1456.53,442.794,-1
